word,example
Countersink,The carpenter countersunk the screw into the wood.
Countersinking,Countersinking is the process of creating a conical depression in a material to receive a flat-headed screw.
Counterstand,A man counterstands the crowd with a sign.
Counterstep,The president used a counterstep to block the legislation.
Counterstock,The counterstock was sold to the customer.
Counterstroke,The counterstroke was a successful attack that reversed the enemy's gains.
Countersunk,The holes were countersunk so the screws would be flush.
Countersway,"He tried to countersway the boat, but it was too heavy."
Counterterm,Renormalization introduces counterterms to cancel divergences.
Countertime,The countertime on the stopwatch was at 20:00.
Countertrippant,The countertrippant is a type of knot that is used to tie two ropes together.
Countertripping,Countertripping is a dance move used in tap dancing.
Counterturn,A ballerina performs a counterturn with her arms outstretched.
Countervail,The countervailing tariffs will help to protect the domestic industry from foreign competition.
Countervailed,The tariffs were countervailed by the government.
Countervailing,The trade agreement included countervailing tariffs to protect domestic industries.
Countervallation,The countervallation was a fortification built to protect the main fortifications.
Counterview,The counterview to the main argument was that the evidence was insufficient.
Countervote,The senator cast a countervote against the bill.
Counterwait,The counterwait was ready to help the customers.
Counterweigh,The heavy bags counterbalanced the lightness of the suitcase.
Counterwheel,The counterwheel is a toothed wheel that meshes with the driving wheel.
Counterwork,The action of counterworking the opposing force.
Countess,Countess is a title given to a woman who is married to a count.
Countesses,The two countesses were seated in the drawing room.
Counties,The counties are full of beautiful scenery.
Counting,People counting the votes.
Countinghouse,The countinghouse was full of activity as the clerks worked to balance the books.
Countingroom,The countingroom was locked at the end of the day.
Countless,Countless stars are visible in the night sky.
Countor,The counter in the library was full of books.
Countour,The girl drew the contour of her face on the mirror.
Countourhouse,Contourhouse is a type of building.
Countre-,The counter-offensive began at dawn.
Countreplete,The countreplete room was filled with beautiful furniture and paintings.
Countretaille,Countretaille is a town in the French department of Calvados.
Countries,Countries are grouped into continents.
Countrified,"The quaint country cottage was surrounded by a large, green, and very countrified garden."
Countrify,The band countryfied their pop songs for their new album.
Country,country where the capital city is called Paris
Country seat,The country seat was a large house in the countryside.
Country-base,The country-base information is stored in a database.
Country-dance,Country-dance is a type of folk dance.
Countryman,A gentleman is seen chatting with his countryman.
Countrymen,Countrymen are people from the same country.
Countryside,A beautiful countryside with a winding stream.
Countrywoman,A countrywoman is a woman who lives in a rural area.
Countrywomen,Countrywomen are making their way to the meeting.
Counttenance,The lady's countenance revealed her displeasure.
Count-wheel,Count-wheel is an antique counter.
County,A county is a subdivision of a state.
Coup,The military coup was a successful attempt to overthrow the government.
Coupable,The guilty man was found coupable.
Coupable,No example available
Coupe,The coupe is a stylish car with two doors.
Couped,A lion rampant and couped.
Coupee,A coupee is a type of train car.
Coupe-gorge,A coupe-gorge is a narrow pass used as a trap for ambushing enemies.
Couple,A couple enjoys a romantic dinner together.
Couple-beggar,A couple-beggar asks for money at the bus stop.
Couple-close,A couple walks close together down the street.
Couple-closes,A young couple closes the door of their home.
Coupled,The coupled oscillators produced a beautiful sound.
Couplement,A flexible coupling connects two shafts together.
Coupler,The coupler connects two train cars together.
Couplet,The couplet is a poetic form consisting of two lines.
Coupling,The coupling of two magnets makes them stick together.
Coupon,Coupons can be found in newspapers and magazines.
Coupure,"The train is on a long, straight cut through the forest."
Courage,"Courage is the strength to face fear, danger, or difficulty."
Courageous,A courageous firefighter rushes into a burning building to save a child.
Courageously,The little boy courageously jumped into the icy water to save his dog.
Courageousness,The courageousness of the soldiers saved the day.
Courant,The daily newspaper Le Courant is a popular source of news for French-speaking Canadians.
Couranto,Courantio is a digital bank that provides financial services to customers in Europe.
Courap,Courap is a village in the district of Gourma-Rharous.
Courb,The street is curved.
Courbaril,The courbaril is the largest and most dangerous species of pit viper in the Americas.
Courche,"The Courche is a river in the department of Ardèche, France."
Courier,A courier is delivering a package to a customer.
Courlan,Courlan are found in the tropical waters of the Americas.
Course,The course was too difficult for the students.
Coursed,The river coursed through the valley.
Courser,The coursers galloped down the road.
Coursey,Coursey is a boy with a sweet smile.
Coursing,The horse was coursing through the field.
Court,A judge sits in court.
Court tennis,Court tennis is a game played indoors.
Court-baron,Court-baron deals with minor criminal cases.
Courtbred,A courtbred lady was always well-spoken and polite.
Court-craft,The judge used court-craft to win over the jury.
Court-cupboard,Court-cupboard with the royal arms above the door.
Courted,The politician courted the support of the voters.
Courtehouse,The courthouse in the city was built in the 19th century.
Courteous,"A courteous girl always says ""Thank you"" and ""Please""."
Courteously,The hostess courteously opened the door for the guests.
Courteousness,He showed courtesy to his guests by opening the door for them.
Courtepy,The young woman curtsied to the king.
Courter,Young courter gazes into the eyes of his beloved.
Courtesan,A beautiful courtesan in a red dress with jewels.
Courtesanship,Courtesanship was a common profession in ancient Rome.
Courtesied,The Queen courtesied to the President.
Courtesies,People should always extend courtesies to each other.
Courtesy,Customers were shown courtesy by the staff.
Courtesying,The bride courtesyed to her guests after the ceremony.
Courtier,A courtier bows to the king.
Courtiery,The courtiery of the king impressed the foreign visitors.
Courting,A couple courting at the park.
Court-leet,A court-leet is a local court that deals with minor crimes and disputes.
Courtlike,The courtlike man enjoyed the lavish feast.
Courtliness,The courtliness of the prince impressed the princess.
Courtling,The swan was courtling his mate.
Courtly,A courtly king dances with his queen at a ball.
Court-martial,A soldier faces a court-martial for desertion.
Court-martialed,The soldier was court-martialed for desertion.
Court-martialing,The military base is court-martialing the soldier for desertion.
Court-plaster,The court-plaster was used to cover the wound.
Courtship,Birds display their courtship rituals during mating season.
Courts-martial,Courts-martial are trials held for military personnel.
Courtyard,The courtyard was peaceful and serene.
Couscous,Couscous is a popular dish in North Africa.
Couscousou,Couscousou is a traditional dish from Senegal.
Cousin,My cousins and I love to play video games together.
Cousinage,The cousinage attended the wedding.
Cousin-german,Two cousin-germans are getting married this weekend.
Cousinhood,The cousinhood is a strong bond that cannot be broken.
